"","cellulase.ck","cellulase.csd","cellulase.cn","cellulase.t","cellulase.tsd","cellulase.tn","yi","vi"
"137",2.8,0.574,3,3.3,0.5053257,3,0.164303051291276,0.0218244968803333
"138",2.8,0.574,3,3.4,0.5206386,3,0.194156014440958,0.0218244968803333
"139",2.2,0.451,3,2.3,0.3521967,3,0.0444517625708336,0.0218244968803333
"140",2.2,0.451,3,2.5,0.3828225,3,0.127833371509885,0.0218244968803333
"141",2.2,0.451,3,2.6,0.3981354,3,0.167054084663166,0.0218244968803333
"142",7.95,1.63,3,8.71,1.33375359,3,0.0912998621981709,0.021828794903882
"143",5.15,1.06,3,11.4,1.7456706,3,0.794616640724805,0.0219375070603692
"144",24.2,4.96,3,43.7,6.6917373,3,0.590995468938904,0.0218188500665911
"145",30.9,6.33,3,49.8,7.6258242,3,0.477258800126907,0.0218046010371813
"146",21.1,4.32,3,27.4,4.1957346,3,0.261269972912004,0.0217888955161831
"147",24.1,4.94,3,31.6,4.8388764,3,0.270945280096257,0.021821661615789
"148",20.1,4.12,3,28.5,4.3641765,3,0.349184272209575,0.0218210974182738
"149",23.1,4.73,3,30.8,4.7163732,3,0.287682072451781,0.0217919760942411
"150",13.4,2.75,3,19.8,3.0319542,3,0.390427230743624,0.0218551106027659
"151",16.6,3.4,3,24.4,3.7363476,3,0.385180436936659,0.0217998089720738
"152",80.4,16.5,4,99.7,15.2669613,4,0.215151500782872,0.0163913329520745
