ID,study,experimental.history (yr),rrMWD,varMWD
14,1,13,-0.100587237,0.00824107
15,1,13,0.326028277,0.00824107
16,1,13,0.362114667,0.00824107
17,1,13,0.176242511,0.00824107
18,1,13,0.179286653,0.00824107
19,1,13,0.344234242,0.00824107
20,1,13,0.218039639,0.00824107
21,1,13,0.294025546,0.00824107
2155,206,12,0.30155192,0.010988094
2156,206,12,0.032970019,0.010988094
2157,206,12,0.310777787,0.010988094
2158,206,12,0.310777787,0.010988094
2165,23,12,0.020790769,0.00824107
2166,23,12,0.016667052,0.00824107
2167,23,12,0.004192878,0.00824107
2168,23,12,0.02079077,0.00824107
2169,23,12,0.016667053,0.00824107
2170,23,12,0.004192878,0.00824107
2171,23,12,0.025425098,0.00824107
2172,23,12,-0.026088436,0.00824107
2173,23,12,0.012793351,0.00824107
2174,23,12,0.025425098,0.00824107
2175,23,12,-0.026088436,0.00824107
2176,23,12,0.012793351,0.00824107
2177,23,12,0.220154012,0.00824107
2178,23,12,0.195910401,0.00824107
2179,23,12,0.152016208,0.00824107
2180,23,12,0.220154012,0.00824107
2181,23,12,0.195910401,0.00824107
2182,23,12,0.152016207,0.00824107
2183,23,12,0.202368489,0.00824107
2184,23,12,-0.077708985,0.00824107
2185,23,12,0.147452731,0.00824107
2186,23,12,0.202368488,0.00824107
2187,23,12,-0.077708984,0.00824107
2188,23,12,0.147452731,0.00824107
1924,179,11,0.21656458,0.000876981
1925,179,11,0.193191229,0.000890012
1926,179,11,0.540501392,0.001510506
1927,179,11,0.544004022,0.001689678
1928,179,11,0.566616983,0.001664709
1929,179,11,0.651300071,0.001773498
1930,179,11,0.443761393,0.000625361
1931,179,11,0.563469357,0.002007752
1939,181,11,0.505813082,0.001582461
1940,182,11,1.060146008,0.002809989
1941,183,11,0.508224842,0.001082639
1942,184,11,0.385262401,0.007561703
1943,181,11,0.057158414,0.00799194
1944,182,11,0.236388778,0.002404843
1945,183,11,0.298981628,0.010157207
1946,184,11,0.093090423,0.005117985
524,23,8,0.003590668,0.00824107
525,23,8,0.021353124,0.00824107
526,23,8,-0.029199155,0.00824107
527,23,8,0.022305758,0.00824107
528,23,8,-0.003766483,0.00824107
529,23,8,0.007490672,0.00824107
755,85,8,0.103032226,0.010988094
756,85,8,0.007722046,0.010988094
757,85,8,0.033039854,0.010988094
758,85,8,0.111473867,0.010988094
759,85,8,0.063948725,0.010988094
760,85,8,0.059514127,0.010988094
2070,43,8,0.012396853,0.006592856
2071,43,8,-0.00210305,0.006592856
2072,43,8,-0.014568416,0.006592856
2073,43,8,-0.043390755,0.006592856
2074,43,8,-0.04735947,0.006592856
2075,43,8,-0.029057734,0.006592856
1977,188,7,0,0.00824107
1978,188,7,0,0.00824107
1979,188,7,0,0.00824107
1980,188,7,-0.044451763,0.00824107
1981,188,7,0,0.00824107
1982,188,7,0,0.00824107
1983,188,7,-0.105360516,0.00824107
1984,188,7,0,0.00824107
1985,188,7,0,0.00824107
2151,205,7,0.203228242,0.010988094
2152,205,7,0.420280194,0.010988094
2153,205,7,0,0.010988094
2154,205,7,0.477627554,0.010988094
2205,209,7,-0.089751522,0.010988094
2206,209,7,-0.073891717,0.010988094
2207,209,7,0.045572597,0.010988094
767,85,6,0.283126256,0.010988094
768,85,6,0.23038996,0.010988094
769,85,6,0.18610228,0.010988094
1411,137,6,0.114895749,0.00824107
1412,137,6,0.224340439,0.00824107
1413,137,6,0.114895748,0.00824107
1414,137,6,0.224340438,0.00824107
1415,137,6,0.114895748,0.00824107
1416,137,6,0.224340439,0.00824107
1417,137,6,0.061414645,0.00824107
1418,137,6,0.141179615,0.00824107
1419,137,6,0.061414644,0.00824107
1420,137,6,0.141179613,0.00824107
1421,137,6,0.061414645,0.00824107
1422,137,6,0.141179614,0.00824107
1423,137,6,-0.035664998,0.00824107
1424,137,6,-0.011747565,0.00824107
1425,137,6,-0.035664999,0.00824107
1426,137,6,-0.011747565,0.00824107
1427,137,6,-0.035664997,0.00824107
1428,137,6,-0.011747565,0.00824107
1976,187,6,-0.405465108,0.00824107
2163,72,6,0.087011377,0.010988094
2164,72,6,0.136776712,0.010988094
92,8,5,0.028987537,0.00824107
93,8,5,0.005865119,0.00824107
94,8,5,-0.023810649,0.00824107
1865,106,5,-0.017291497,0.000877704
1866,106,5,-0.010869672,0.00468522
1867,106,5,0.148215944,0.006839628
1932,180,5,0.22238855,0.002634701
1933,180,5,0.272143469,0.008769676
1934,180,5,0.023348287,0.006908819
1935,180,5,0.153675959,0.029791204
1936,180,5,0.344269547,0.013067318
1937,180,5,-0.01169604,0.033310814
2083,196,5,0.145711811,0.001089654
2084,196,5,0.26298946,0.001407211
463,52,4,0.336472237,0.00824107
464,52,4,0.182321557,0.00824107
465,52,4,0.454255272,0.00824107
466,52,4,0.405465108,0.00824107
467,52,4,0.517256514,0.00824107
468,52,4,0.09237332,0.00824107
469,52,4,0.279584862,0.00824107
470,52,4,0.031748698,0.00824107
471,52,4,0.489548225,0.00824107
472,52,4,0.422856851,0.00824107
473,52,4,0.274436846,0.00824107
474,52,4,0.191055237,0.00824107
2211,210,4,0.051513534,0.00824107
2212,210,4,0.033616611,0.00824107
2213,210,4,-0.006153866,0.00824107
2214,210,4,0.008771986,0.00824107
2215,210,4,0.120627988,0.00824107
2216,210,4,-0.018576386,0.00824107
2217,210,4,0.168513584,0.00824107
2218,210,4,0.18672685,0.00824107
2219,210,4,0.11686434,0.00824107
2220,210,4,0.215519626,0.00824107
2221,210,4,0.164503713,0.00824107
2222,210,4,-0.077291674,0.00824107
2223,211,4,-0.085613753,0.010988094
2224,211,4,0.232995848,0.010988094
