ID,study,layer2,SOC,rrSOC,varSOC,depth2,SOC2,pH4,pH3
1,1,0-10,7.987470998,0.05487661,0.003273252,7.5,low,alkaline,7.562
2,1,0-10,7.987470998,0.020305266,0.003273252,7.5,low,alkaline,7.562
3,1,0-10,7.987470998,0.059719235,0.003273252,7.5,low,alkaline,7.562
4,1,0-10,7.987470998,-0.025975486,0.003273252,7.5,low,alkaline,7.562
5,1,0-10,7.987470998,-0.015504187,0.003273252,7.5,low,alkaline,7.562
6,1,0-10,7.987470998,0.015267472,0.003273252,7.5,low,alkaline,7.562
7,1,0-10,7.987470998,0.092976456,0.003273252,7.5,low,alkaline,7.562
8,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
9,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
10,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
11,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
12,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
13,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
14,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
15,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
16,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
17,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
18,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
19,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
20,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
21,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
22,2,0-10,6,,,7.5,low,alkaline,8.2
23,2,0-10,6,,,7.5,low,alkaline,8.2
24,2,10-30,6,,,22.5,low,alkaline,8.2
25,2,10-30,6,,,22.5,low,alkaline,8.2
26,3,0-10,8.41067285,-0.002077475,0.004364336,7.5,low,alkaline,8
27,3,0-10,8.41067285,-0.072085318,0.004364336,7.5,low,alkaline,8
28,3,0-10,8.41067285,-0.084015629,0.004364336,7.5,low,alkaline,8
29,3,0-10,8.41067285,0.014023501,0.004364336,7.5,low,alkaline,8
30,3,0-10,8.41067285,-0.007621601,0.004364336,7.5,low,alkaline,8
31,3,0-10,8.41067285,-0.058254735,0.004364336,7.5,low,alkaline,8
32,3,0-10,8.41067285,0.087289735,0.004364336,7.5,low,alkaline,8
33,4,0-10,16.08315545,,,7.5,moderate,alkaline,5.83
34,4,0-10,16.08315545,,,7.5,moderate,alkaline,5.83
35,4,0-10,16.08315545,,,7.5,moderate,alkaline,5.83
36,4,0-10,16.08315545,,,7.5,moderate,neutral,5.83
37,4,0-10,16.08315545,,,7.5,moderate,neutral,5.83
38,4,0-10,16.08315545,,,7.5,moderate,neutral,5.83
39,4,0-10,16.08315545,,,7.5,moderate,neutral,5.83
40,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
41,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
42,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
43,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
44,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
45,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
46,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
47,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
48,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
49,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
50,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
51,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
52,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
53,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
54,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
55,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
56,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
57,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
58,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
59,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
60,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
61,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
62,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
63,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
64,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
65,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
66,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
67,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
68,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
69,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
70,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
71,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
72,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
73,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
74,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
75,5,0-10,18.76879071,,,7.5,high,neutral,6.55
76,5,10-30,17.53257541,,,22.5,high,neutral,6.772
77,6,0-10,10.60511988,0.212058719,0.003273252,3.75,moderate,acid,7.45
78,6,0-10,10.60511988,0.284019581,0.003273252,3.75,moderate,acid,7.45
79,6,10-30,12.16292343,0.0411218,0.003273252,11.25,moderate,acid,7.08
80,6,10-30,12.16292343,0.026628792,0.003273252,11.25,moderate,acid,7.08
81,7,0-10,20.78537355,,,10,high,neutral,6.38
82,7,0-10,20.78537355,,,10,high,neutral,6.38
83,8,0-10,6.0738255,,,10,low,acid,6
84,8,0-10,6.0738255,,,10,low,acid,6
85,8,0-10,6.0738255,,,10,low,acid,6
86,8,0-10,6.0738255,,,10,low,acid,6
87,8,0-10,6.0738255,,,10,low,acid,6
88,8,0-10,6.0738255,,,10,low,acid,6
89,8,0-10,6.0738255,,,10,low,acid,6
90,8,0-10,6.0738255,,,10,low,acid,6
91,8,0-10,6.0738255,,,10,low,acid,6
92,8,0-10,6.0738255,0.150433203,0.003273252,10,low,acid,6
93,8,0-10,6.0738255,0.098845835,0.003273252,10,low,acid,6
94,8,0-10,6.0738255,0.127833372,0.003273252,10,low,acid,6
95,9,0-10,15.0812065,,,3.5,moderate,acid,7.5
96,9,0-10,15.0812065,,,3.5,moderate,acid,7.5
97,9,0-10,15.0812065,,,3.5,moderate,acid,7.5
98,9,0-10,15.0812065,,,3.5,moderate,acid,7.5
99,9,0-10,15.0812065,,,3.5,moderate,acid,7.5
100,9,0-10,15.0812065,,,3.5,moderate,acid,7.5
101,10,0-10,12.18097448,,,3.5,moderate,acid,7.1
102,10,0-10,12.18097448,,,3.5,moderate,acid,7.1
103,10,0-10,12.18097448,,,3.5,moderate,acid,7.1
104,11,0-10,19,,,10,high,neutral,7.8
105,11,0-10,19,,,10,high,neutral,7.8
106,12,0-10,12.15396288,0.046520016,0.00248988,10,moderate,acid,7.686666667
107,12,0-10,12.15396288,0,0.001927438,10,moderate,acid,7.686666667
108,12,0-10,12.15396288,0,0.00138322,10,moderate,acid,7.686666667
109,12,0-10,12.15396288,0.174353387,0.003120327,10,moderate,acid,7.686666667
110,12,0-10,12.15396288,0.046520016,0.001560128,10,moderate,acid,7.686666667
111,12,0-10,12.15396288,0,0.001179138,10,moderate,acid,7.686666667
112,12,0-10,12.15396288,0.090971778,0.001496856,10,moderate,acid,7.686666667
113,12,0-10,12.15396288,0,0.00094518,10,moderate,acid,7.686666667
114,12,0-10,12.15396288,-0.044451763,0.000989119,10,moderate,acid,7.686666667
115,12,0-10,12.15396288,0,0.000775047,10,moderate,acid,7.686666667
116,12,0-10,12.15396288,0.042559614,0.000489951,10,moderate,acid,7.686666667
117,12,0-10,12.15396288,0,0.000775047,10,moderate,acid,7.686666667
118,12,0-10,12.15396288,0,0.001398866,10,moderate,acid,7.686666667
119,12,0-10,12.15396288,0,0.001153119,10,moderate,acid,7.686666667
120,13,0-10,11.16184068,0.036367644,0.001225907,10,moderate,acid,7.695333333
121,13,0-10,11.16184068,0.036367644,0.001570295,10,moderate,acid,7.695333333
122,13,0-10,11.16184068,0,0.001234568,10,moderate,acid,7.695333333
123,13,0-10,11.16184068,0.036367644,0.001225907,10,moderate,acid,7.695333333
124,13,0-10,11.16184068,-0.037740328,0.002901052,10,moderate,acid,7.695333333
125,13,0-10,11.16184068,0.036367644,0.003981009,10,moderate,acid,7.695333333
126,13,0-10,11.16184068,0,0.001604938,10,moderate,acid,7.695333333
127,13,0-10,11.16184068,-0.042559614,0.000736485,10,moderate,acid,7.695333333
128,13,0-10,11.16184068,0,0.000868056,10,moderate,acid,7.695333333
129,13,0-10,11.16184068,0,0.000590278,10,moderate,acid,7.695333333
130,13,0-10,11.16184068,0,0.000590278,10,moderate,neutral,7.695333333
131,13,0-10,11.16184068,0,0.000868056,10,moderate,neutral,7.695333333
132,13,0-10,11.16184068,-0.042559614,0.001114557,10,moderate,neutral,7.695333333
133,13,0-10,11.16184068,0,0.000868056,10,moderate,neutral,7.695333333
134,14,0-10,9.192835268,-0.061368946,0.004364336,2.5,low,acid,7.348
135,14,0-10,9.192835268,0.017804625,0.004364336,2.5,low,acid,7.348
136,14,0-10,9.192835268,-0.028987537,0.004364336,2.5,low,acid,7.348
137,14,0-10,9.208584686,-0.048009219,0.004364336,7.5,low,acid,7.33
138,14,0-10,9.208584686,-0.055350095,0.004364336,7.5,low,acid,7.33
139,14,0-10,9.208584686,-0.172245905,0.004364336,7.5,low,acid,7.33
140,15,0-10,7,-0.048009219,0.028793503,10,low,acid,6
141,15,0-10,7,0.015504187,0.027222633,10,low,acid,6
142,16,0-10,23.6,,,2.5,high,neutral,7.1
143,16,0-10,23.6,,,2.5,high,neutral,7.1
144,16,0-10,23.6,,,2.5,high,neutral,7.1
145,16,0-10,23.6,,,2.5,high,neutral,7.1
146,16,0-10,23.6,0.014760416,0.003273252,2.5,high,neutral,7.1
147,16,0-10,23.6,0.064770836,0.003273252,2.5,high,neutral,7.1
148,17,0-10,22,,,2.5,high,neutral,7.21
149,17,0-10,22,,,2.5,high,neutral,7.21
150,17,0-10,22,,,2.5,high,neutral,7.21
151,17,0-10,22,,,2.5,high,neutral,7.21
152,17,0-10,22,0.084218079,0.003273252,2.5,high,neutral,7.21
153,17,0-10,22,0.060870715,0.003273252,2.5,high,neutral,7.21
154,18,0-10,17.816,-0.085471731,0.007037702,5,high,neutral,6.166
155,18,10-30,15.18023202,0.062623423,0.006332225,15,moderate,neutral,6.73
156,18,10-30,21.26941995,,,30,high,neutral,6.588
157,18,30-60,18.99099768,,,50,high,neutral,7.01
158,19,0-10,18.91271462,,,7.5,high,neutral,6.53
159,19,0-10,18.91271462,,,7.5,high,neutral,6.53
160,19,10-30,18.09,,,22.5,high,neutral,6.6
161,19,10-30,18.09,,,22.5,high,neutral,6.6
162,6,0-10,11.42510441,,,10,moderate,neutral,7.26
163,6,0-10,11.42510441,,,10,moderate,neutral,7.26
164,6,0-10,11.42510441,,,10,moderate,neutral,7.26
165,6,0-10,11.42510441,,,10,moderate,neutral,7.26
166,6,0-10,11.42510441,,,10,moderate,neutral,7.26
167,6,0-10,11.42510441,,,10,moderate,neutral,7.26
168,6,0-10,11.42510441,,,10,moderate,neutral,7.26
169,6,0-10,11.42510441,,,10,moderate,alkaline,7.26
170,6,0-10,11.42510441,,,10,moderate,alkaline,7.26
171,6,0-10,11.42510441,,,10,moderate,alkaline,7.26
172,6,0-10,11.42510441,,,10,moderate,alkaline,7.26
173,6,0-10,11.42510441,,,10,moderate,alkaline,7.26
174,6,0-10,11.42510441,,,10,moderate,neutral,7.26
175,6,0-10,11.42510441,,,10,moderate,neutral,7.26
176,6,0-10,11.42510441,,,10,moderate,neutral,7.26
177,6,0-10,11.42510441,,,10,moderate,neutral,7.26
178,6,0-10,11.42510441,,,10,moderate,neutral,7.26
179,6,0-10,11.42510441,,,10,moderate,alkaline,7.26
180,6,0-10,11.42510441,,,10,moderate,alkaline,7.26
181,6,0-10,11.42510441,,,10,moderate,alkaline,7.26
182,6,0-10,11.42510441,,,10,moderate,alkaline,7.26
183,6,0-10,11.42510441,,,10,moderate,alkaline,7.26
184,6,0-10,11.42510441,,,10,moderate,neutral,7.26
185,6,0-10,11.42510441,,,10,moderate,neutral,7.26
186,6,0-10,11.42510441,,,10,moderate,neutral,7.26
187,6,0-10,11.42510441,,,10,moderate,neutral,7.26
188,6,0-10,11.42510441,,,10,moderate,neutral,7.26
189,6,0-10,11.42510441,,,10,moderate,acid,7.26
190,6,0-10,11.42510441,,,10,moderate,acid,7.26
191,6,0-10,11.42510441,,,10,moderate,acid,7.26
192,6,0-10,11.42510441,,,10,moderate,acid,7.26
193,6,0-10,11.42510441,,,10,moderate,acid,7.26
194,20,10-30,38,,,15,high,neutral,6.6
195,20,10-30,38,,,15,high,neutral,6.6
196,20,10-30,38,,,15,high,neutral,6.6
197,20,10-30,38,,,15,high,neutral,6.6
198,20,0-10,38,0.10633565,0.003273252,3.75,high,neutral,6.6
199,20,0-10,38,0.088636073,0.003273252,3.75,high,neutral,6.6
200,20,0-10,38,0.014815086,0.003273252,3.75,high,neutral,6.6
201,20,0-10,38,-0.022642477,0.003273252,3.75,high,neutral,6.6
202,20,0-10,38,0.070951736,0.003273252,7.5,high,neutral,6.6
203,20,0-10,38,0.066375069,0.003273252,7.5,high,neutral,6.6
204,20,0-10,38,0.020534602,0.003273252,7.5,high,neutral,6.6
205,20,0-10,38,-0.02308602,0.003273252,7.5,high,neutral,6.6
206,20,10-30,38,0.052870333,0.003273252,15,high,neutral,6.6
207,20,10-30,38,0.063591103,0.003273252,15,high,neutral,6.6
208,20,10-30,38,0.035656451,0.003273252,15,high,neutral,6.6
209,20,10-30,38,0.044655387,0.003273252,15,high,neutral,6.6
210,21,0-10,34.80278422,,,10,high,neutral,6.74
211,21,0-10,34.80278422,,,10,high,neutral,6.74
212,21,0-10,34.80278422,,,10,high,neutral,6.74
213,21,0-10,34.80278422,,,10,high,neutral,6.74
214,21,0-10,34.80278422,,,10,high,neutral,6.74
215,21,0-10,34.80278422,,,10,high,neutral,6.74
216,21,0-10,34.80278422,,,10,high,neutral,6.74
217,21,0-10,34.80278422,,,10,high,neutral,6.74
218,21,0-10,34.80278422,,,10,high,neutral,6.74
219,21,0-10,34.80278422,,,10,high,neutral,6.74
220,21,0-10,34.80278422,,,10,high,neutral,6.74
221,21,0-10,34.80278422,,,10,high,neutral,6.74
222,21,0-10,34.80278422,,,10,high,neutral,6.74
223,21,0-10,34.80278422,,,10,high,neutral,6.74
224,21,0-10,34.80278422,,,10,high,neutral,6.74
225,21,0-10,34.80278422,,,10,high,neutral,6.74
226,22,0-10,18.74666821,,,10,high,neutral,7.06
227,22,0-10,18.74666821,,,10,high,neutral,7.06
228,22,0-10,18.74666821,,,10,high,neutral,7.06
229,22,0-10,18.74666821,,,10,high,neutral,7.06
230,22,0-10,21.92835267,0.059719235,0.003754231,5,high,neutral,7.04
231,22,0-10,21.92835267,-0.051293295,0.004360026,5,high,neutral,7.04
232,22,10-30,19.32472287,0.071458964,0.008335946,15,high,neutral,7.278
233,22,10-30,19.32472287,-0.0719735,0.015158111,15,high,neutral,7.278
234,23,0-10,22.22222222,0.284097255,0.003273252,2.5,high,neutral,5.6
235,23,0-10,22.22222222,0.270786731,0.003273252,2.5,high,neutral,5.6
236,23,0-10,22.22222222,0.260811586,0.003273252,2.5,high,neutral,5.6
237,23,0-10,17.73049645,0.188970833,0.003273252,7.5,high,neutral,5
238,23,0-10,17.73049645,0.021916749,0.003273252,7.5,high,neutral,5
239,23,0-10,17.73049645,0.25756915,0.003273252,7.5,high,neutral,5
240,24,0-10,17.082,,,10,moderate,acid,5.746
241,24,0-10,17.082,,,10,moderate,acid,5.746
242,24,0-10,17.39647332,0.173158644,0.004364336,2.5,high,neutral,5.638
243,24,0-10,17.39647332,0.126040721,0.004364336,2.5,high,neutral,5.638
244,24,0-10,16.532529,0.039478811,0.004364336,7.5,moderate,acid,5.402
245,24,0-10,16.532529,-0.013513719,0.004364336,7.5,moderate,acid,5.402
246,24,10-30,14.2182413,-0.007722046,0.004364336,15,moderate,acid,5.652
247,24,10-30,14.2182413,0.037740328,0.004364336,15,moderate,acid,5.652
248,24,10-30,16.58,-0.026907453,0.004364336,25,moderate,acid,5.462
249,24,10-30,16.58,-0.036039936,0.004364336,25,moderate,acid,5.462
250,24,0-10,17.082,,,10,moderate,acid,5.746
251,24,0-10,17.082,,,10,moderate,acid,5.746
252,24,0-10,17.082,,,10,moderate,acid,5.746
253,24,0-10,17.082,,,10,moderate,acid,5.746
254,24,0-10,17.39647332,0.173158644,0.004364336,2.5,high,neutral,5.638
255,24,0-10,17.39647332,0.126040721,0.004364336,2.5,high,neutral,5.638
256,24,0-10,16.532529,0.039478811,0.004364336,7.5,moderate,acid,5.402
257,24,0-10,16.532529,-0.013513719,0.004364336,7.5,moderate,acid,5.402
258,24,10-30,14.2182413,-0.007722046,0.004364336,15,moderate,acid,5.652
259,24,10-30,14.2182413,0.037740328,0.004364336,15,moderate,neutral,5.652
260,24,10-30,16.58,-0.026907453,0.004364336,25,moderate,neutral,5.462
261,24,10-30,16.58,-0.036039936,0.004364336,25,moderate,neutral,5.462
262,25,10-30,9.3,0.005137437,0.001900344,15,moderate,neutral,7.3
263,25,10-30,9.3,-0.022133438,0.001953334,15,moderate,neutral,7.3
264,25,10-30,9.3,-0.006272759,0.001667464,15,moderate,neutral,7.3
265,25,10-30,9.3,-0.035645322,0.001868372,15,moderate,neutral,7.3
266,25,10-30,9.3,-0.031609731,0.001563368,15,moderate,neutral,7.3
267,25,10-30,9.3,-0.031609731,0.001563368,15,moderate,neutral,7.3
268,25,10-30,9.3,0.060994513,0.001352763,15,moderate,neutral,7.3
269,25,10-30,9.3,0.082673229,0.001379851,15,moderate,neutral,7.3
270,26,0-10,12.36015468,0.169014485,0.003273252,7.5,moderate,neutral,7.308
271,26,0-10,12.36015468,0.198378994,0.003273252,7.5,moderate,alkaline,7.308
272,26,10-30,11.99803558,-0.172446809,0.003273252,22.5,moderate,alkaline,7.35
273,26,10-30,11.99803558,0.166065166,0.003273252,22.5,moderate,alkaline,7.35
274,27,0-10,19.66357309,,,10,high,neutral,5.4
275,27,0-10,19.66357309,,,10,high,neutral,5.4
276,27,0-10,19.66357309,,,10,high,neutral,5.4
277,27,0-10,19.66357309,,,10,high,neutral,5.4
278,28,0-10,13.3,,,10,moderate,alkaline,5.4
279,28,0-10,13.3,,,10,moderate,alkaline,5.4
280,28,0-10,13.3,,,10,moderate,alkaline,5.4
281,28,0-10,13.3,,,10,moderate,neutral,5.4
282,29,0-10,10.96473318,-0.048246834,0.003277355,5,moderate,neutral,6.16
283,29,0-10,10.96473318,0,0.003119355,5,moderate,neutral,6.16
284,29,0-10,10.96473318,-0.029413885,0.00321386,5,moderate,acid,6.16
285,30,0-10,12.36477958,-0.044451763,0.003884866,5,moderate,acid,6.12
286,30,0-10,12.36477958,-0.011928571,0.003757105,5,moderate,acid,6.12
287,30,0-10,12.36477958,-0.024001152,0.003803563,5,moderate,acid,6.12
288,29,0-10,11.44974478,,,10,moderate,acid,6.12
289,29,0-10,11.44974478,,,10,moderate,acid,6.12
290,29,0-10,11.44974478,,,10,moderate,acid,6.12
291,30,0-10,11.5249652,,,10,moderate,acid,6.04
292,30,0-10,11.5249652,,,10,moderate,acid,6.04
293,30,0-10,11.5249652,,,10,moderate,acid,6.04
294,31,0-10,24.5,,,5,high,neutral,7.5
295,31,0-10,24.5,,,5,high,neutral,7.5
296,31,0-10,24.5,,,5,high,neutral,7.5
297,31,0-10,24.5,,,5,high,neutral,7.5
298,28,0-10,13.3,,,10,moderate,acid,5.4
299,28,0-10,13.3,,,10,moderate,acid,5.4
300,28,0-10,13.3,,,10,moderate,acid,5.4
301,28,0-10,13.3,,,10,moderate,acid,5.4
302,32,10-30,8.7,0.009046625,0.001650118,15,low,acid,7
303,32,10-30,8.7,,,15,low,acid,7
304,32,10-30,8.7,0.056655598,0.001013645,15,low,acid,7
305,32,10-30,8.7,0.100862335,0.001351127,15,low,acid,7
306,32,10-30,8.7,,,15,low,acid,7
307,32,10-30,8.7,0.047686432,0.002967318,15,low,acid,7
308,32,10-30,8.7,,,15,low,acid,7
309,32,10-30,8.7,,,15,low,acid,7
310,32,10-30,8.7,0.089562468,0.000843676,15,low,acid,7
311,32,10-30,8.7,,,15,low,acid,7
312,32,10-30,8.7,0.131785784,0.002424245,15,low,acid,7
313,33,0-10,9.8,,,7.5,moderate,acid,6.6
314,33,0-10,9.8,,,7.5,moderate,neutral,6.6
315,33,0-10,9.8,,,7.5,moderate,neutral,6.6
316,33,0-10,9.8,,,7.5,moderate,neutral,6.6
317,34,0-10,8.7,,,7.5,low,acid,5.9
318,34,0-10,8.7,,,7.5,low,acid,5.9
319,34,0-10,8.7,,,7.5,low,acid,5.9
320,34,0-10,8.7,,,7.5,low,acid,5.9
321,35,0-10,14,,,10,moderate,neutral,6.5
322,35,0-10,14,,,10,moderate,neutral,6.5
323,35,0-10,14,,,10,moderate,acid,6.5
324,36,0-10,9.28074246,,,5,low,acid,7.192
325,36,0-10,9.28074246,,,5,low,acid,7.192
326,36,0-10,9.28074246,,,5,low,acid,7.192
327,36,0-10,9.28074246,,,5,low,acid,7.192
328,26,0-10,12.29296211,0.184093037,0.001508027,7.5,moderate,acid,7.18
329,26,0-10,12.29296211,0.209973088,0.001428663,7.5,moderate,acid,7.18
330,26,10-30,10.44656613,0.16034265,0.002757154,22.5,moderate,acid,7.26
331,26,10-30,10.44656613,0.139529412,0.002099451,22.5,moderate,acid,7.26
332,7,0-10,21.67308585,0.056027832,0.003988337,7.5,high,neutral,6.6
333,7,0-10,21.67308585,0.124165637,0.004547038,7.5,high,neutral,6.6
334,7,0-10,21.67308585,0.084465767,0.004435823,7.5,high,neutral,6.6
335,7,0-10,21.67308585,0.016474837,0.002881624,7.5,high,neutral,6.6
336,7,0-10,21.67308585,0.079787117,0.002944349,7.5,high,neutral,6.6
337,7,0-10,21.67308585,0.073633251,0.004675806,7.5,high,neutral,6.6
338,37,0-10,11.65893271,,,10,moderate,acid,6.5
339,37,0-10,11.65893271,,,10,moderate,acid,6.5
340,37,0-10,11.65893271,,,10,moderate,acid,6.5
341,35,0-10,11.83294664,0.389464767,0.004364336,7.5,moderate,acid,6.2
342,35,0-10,11.83294664,0.428995606,0.004364336,7.5,moderate,acid,6.2
343,35,0-10,11.83294664,0.444380524,0.004364336,7.5,moderate,acid,6.2
344,35,0-10,11.83294664,0.459532329,0.004364336,7.5,moderate,acid,6.2
345,38,0-10,8.417336426,0.015480186,0.003273252,10,low,acid,6.416
346,38,0-10,8.417336426,0.0495705,0.003273252,10,low,acid,6.416
347,38,0-10,8.417336426,-0.005123837,0.003273252,10,low,acid,6.416
348,39,10-30,18.40432483,,,15,high,neutral,7.02
349,39,10-30,18.40432483,,,15,high,neutral,7.02
350,39,10-30,18.40432483,,,15,high,neutral,7.02
351,39,10-30,18.40432483,,,15,high,neutral,7.02
352,39,10-30,18.40432483,,,15,high,neutral,7.02
353,11,10-30,18.51,,,11.5,high,neutral,8.23
354,11,10-30,18.51,,,11.5,high,neutral,8.23
355,11,10-30,18.51,,,11.5,high,neutral,8.23
356,11,10-30,18.51,,,11.5,high,neutral,8.23
357,11,10-30,18.51,,,11.5,high,neutral,8.23
358,11,10-30,18.51,,,11.5,high,neutral,8.23
359,40,0-10,9.238839908,,,10,low,neutral,5.6
360,40,0-10,9.238839908,,,10,low,neutral,5.6
361,40,0-10,9.776009282,0.139355521,0.004364336,4.3,moderate,acid,5.6
362,40,0-10,9.776009282,-0.018868484,0.004364336,4.3,moderate,acid,5.6
363,40,10-30,8.589470998,-0.012149057,0.004364336,12.35,low,neutral,5.6
364,40,10-30,8.589470998,-0.012149057,0.004364336,12.35,low,neutral,5.6
365,23,0-10,16.76032483,0.063657852,0.003273252,5,moderate,acid,5.1
366,23,0-10,16.76032483,0.081125545,0.003273252,5,moderate,acid,5.1
367,23,0-10,16.76032483,0.041385216,0.003273252,5,moderate,acid,5.1
368,41,0-10,9.342320186,0.365333007,0.003273252,10,moderate,acid,8.04
369,41,0-10,9.342320186,0.339130634,0.003273252,10,moderate,acid,8.04
370,41,0-10,9.342320186,0.27518191,0.003273252,10,moderate,neutral,8.04
371,41,0-10,9.342320186,0.251314428,0.003273252,10,moderate,neutral,8.04
372,41,0-10,9.342320186,0.491407538,0.003273252,10,moderate,neutral,8.04
373,41,0-10,9.342320186,0.483533482,0.003273252,10,moderate,neutral,8.04
374,41,0-10,9.342320186,0.430782916,0.003273252,10,moderate,neutral,8.04
375,41,0-10,9.342320186,0.361790045,0.003273252,10,moderate,neutral,8.04
376,42,0-10,20.30162413,,,10,high,neutral,6.2
377,42,0-10,20.30162413,,,10,high,neutral,6.2
378,42,0-10,20.30162413,,,10,high,neutral,6.2
379,43,0-10,23.20185615,,,5,high,neutral,6.2
380,43,0-10,23.20185615,,,5,high,neutral,6.2
381,43,0-10,23.20185615,,,5,high,neutral,6.2
382,43,0-10,23.20185615,,,5,high,neutral,6.2
383,43,0-10,23.20185615,,,5,high,neutral,6.2
384,43,0-10,23.20185615,,,5,high,neutral,6.2
385,43,0-10,23.20185615,,,5,high,neutral,6.2
386,43,0-10,23.20185615,,,5,high,neutral,6.2
387,43,0-10,23.20185615,,,5,high,neutral,6.2
388,43,0-10,23.20185615,,,5,high,neutral,6.2
389,43,0-10,23.20185615,,,5,high,neutral,6.2
390,43,0-10,23.20185615,,,5,high,neutral,6.2
391,43,0-10,23.20185615,,,5,high,neutral,6.2
392,43,0-10,23.20185615,,,5,high,neutral,6.2
393,43,0-10,23.20185615,,,5,high,neutral,6.2
394,43,0-10,23.20185615,,,5,high,neutral,6.2
395,43,0-10,23.20185615,,,5,high,neutral,6.2
396,43,0-10,23.20185615,,,5,high,neutral,6.2
397,43,0-10,23.20185615,,,5,high,neutral,6.2
398,43,0-10,23.20185615,,,5,high,neutral,6.2
399,43,0-10,23.20185615,,,5,high,neutral,6.2
400,43,0-10,23.20185615,,,5,high,neutral,6.2
401,43,0-10,23.20185615,,,5,high,neutral,6.2
402,43,0-10,23.20185615,,,5,high,neutral,6.2
403,43,0-10,23.20185615,,,5,high,neutral,6.2
404,43,0-10,23.20185615,,,5,high,neutral,6.2
405,43,0-10,23.20185615,,,5,high,neutral,6.2
406,43,0-10,23.20185615,,,5,high,neutral,6.2
407,43,0-10,23.20185615,,,5,high,acid,6.2
408,43,0-10,23.20185615,,,5,high,acid,6.2
409,43,0-10,23.20185615,,,5,high,neutral,6.2
410,43,0-10,23.20185615,,,5,high,neutral,6.2
411,43,0-10,23.20185615,,,5,high,neutral,6.2
412,43,0-10,23.20185615,,,5,high,neutral,6.2
413,43,0-10,23.20185615,,,5,high,neutral,6.2
414,43,0-10,23.20185615,,,5,high,neutral,6.2
415,43,0-10,23.20185615,,,5,high,neutral,6.2
416,43,0-10,23.20185615,,,5,high,neutral,6.2
417,43,0-10,23.20185615,,,5,high,neutral,6.2
418,43,0-10,23.20185615,,,5,high,neutral,6.2
419,44,0-10,21,,,10,high,neutral,6
420,44,0-10,21,,,10,high,neutral,6
421,45,0-10,24,,,10,high,neutral,6.4
422,45,0-10,24,,,10,high,neutral,6.4
423,45,0-10,24,,,10,high,neutral,6.4
424,45,0-10,24,,,10,high,neutral,6.4
425,45,0-10,24,,,10,high,neutral,6.4
426,46,0-10,10.44083527,,,5,moderate,neutral,6.4
427,46,0-10,10.44083527,,,5,moderate,neutral,6.4
428,46,0-10,10.44083527,,,5,moderate,neutral,6.4
429,46,0-10,10.44083527,,,5,moderate,neutral,6.4
430,46,0-10,10.44083527,,,5,moderate,neutral,6.4
431,46,0-10,10.44083527,,,5,moderate,neutral,6.4
