ID,number,author1,year,journal,study,longitude,latitude,climate.zone,soil.texture,soil.layer,experimental.duration (yr),cropland.type,Nrate (kg N/ha),OF,tillage,irrigation2,CC.type,CC.diversity,residue.management,POC.ck (g/kg),POC.csd,POC.cn,POC.t,POC.tsd,POC.tn,rrPOC,varPOC,MAOC.ck (g/kg),MAOC.csd,MAOC.cn,MAOC.t,MAOC.tsd,MAOC.tn,rrMAOC,varMAOC
32,6,Amadori,2022,SOIL AND PLANT NUTRITION ,9,-52.68333333,-26.11666667,temperate,clay,0-10,26,upland,22.03,no,conventional,rainfed,non-legume,1,incorporated,4.8,9.98E-01,3,5.44,1.36E+00,3,0.125163143,0.035243113,3.54E+01,2.16534032,3,27.04,1.52778704,3,-0.269394569,0.002311288
33,6,Amadori,2022,SOIL AND PLANT NUTRITION ,9,-52.68333333,-26.11666667,temperate,clay,0-10,26,upland,22.03,no,conventional,rainfed,non-legume,1,incorporated,3.04,6.32E-01,3,3.2,7.99E-01,3,0.051293294,0.035188023,3.46E+01,2.11635072,3,37.12,2.09731712,3,0.070302226,0.002311223
34,6,Amadori,2022,SOIL AND PLANT NUTRITION ,9,-52.68333333,-26.11666667,temperate,clay,0-10,26,upland,22.03,no,conventional,rainfed,non-legume,1,incorporated,3.04,6.32E-01,3,3.68,9.19E-01,3,0.191055237,0.035194809,3.46E+01,2.11635072,3,30.56,1.72667056,3,-0.124161718,0.002311223
35,6,Amadori,2022,SOIL AND PLANT NUTRITION ,9,-52.68333333,-26.11666667,temperate,clay,10-30,26,upland,22.03,no,conventional,rainfed,non-legume,1,incorporated,2.8,5.82E-01,3,2.56,6.39E-01,3,-0.089612159,0.035169811,3.67E+01,2.24862264,3,43.6,2.4634436,3,0.172280395,0.002315474
36,6,Amadori,2022,SOIL AND PLANT NUTRITION ,9,-52.68333333,-26.11666667,temperate,clay,10-30,26,upland,22.03,no,conventional,rainfed,non-legume,1,incorporated,2.8,5.82E-01,3,3.12,7.79E-01,3,0.108213585,0.035181479,3.67E+01,2.24862264,3,36.24,2.04759624,3,-0.012613274,0.002315474
37,7,Zhang,2022,Global Change Biology,10,-77.93333333,40.71666667,cold,loam,0-10,7,upland,107.14,no,conventional,rainfed,non-legume,1,incorporated,3.47E+00,5.72E-01,4,5.59E+00,1.22E+00,4,4.77E-01,1.87E-02,7.58E+00,8.40E-01,4,8.00E+00,6.40E-01,4,0.053928342,0.004670154
38,7,Zhang,2022,Global Change Biology,10,-77.93333333,40.71666667,cold,loam,0-10,7,upland,107.14,no,conventional,rainfed,legume,1,incorporated,3.47E+00,5.72E-01,4,4.88E+00,9.40E-01,4,3.41E-01,1.61E-02,7.58E+00,8.40E-01,4,9.20E+00,8.60E-01,4,0.193690284,0.0052547
39,7,Zhang,2022,Global Change Biology,10,-77.93333333,40.71666667,cold,loam,0-10,7,upland,107.14,no,conventional,rainfed,non-legume,1,incorporated,3.47E+00,5.72E-01,4,6.06E+00,1.04E+00,4,5.58E-01,1.42E-02,7.58E+00,8.40E-01,4,7.75E+00,2.80E-01,4,0.022179644,0.003396481
40,7,Zhang,2022,Global Change Biology,10,-77.93333333,40.71666667,cold,loam,0-10,7,upland,107.14,no,conventional,rainfed,mixture,5,incorporated,3.47E+00,5.72E-01,4,5.27E+00,1.78E+00,4,4.18E-01,3.53E-02,7.58E+00,8.40E-01,4,9.91E+00,1.78E+00,4,0.268031149,0.01113568
41,8,Huang,2023,Plant Soil ,11,111.8755556,26.76166667,temperate,loam,0-10,36,paddy,84,no,conventional,continous,legume,1,incorporated,,,,,,,,,1.15E+01,2.00E-01,3,9.69E+00,4.75E-01,3,-0.171252609,0.000901793
42,8,Huang,2023,Plant Soil ,11,111.8755556,26.76166667,temperate,loam,0-10,36,paddy,84,no,conventional,continous,non-legume,1,incorporated,,,,,,,,,1.15E+01,2.00E-01,3,1.04E+01,2.95E-01,3,-0.100541229,0.000369018
43,8,Huang,2023,Plant Soil ,11,111.8755556,26.76166667,temperate,loam,0-10,36,paddy,84,no,conventional,continous,non-legume,1,incorporated,,,,,,,,,1.15E+01,2.00E-01,3,1.16E+01,5.50E-01,3,0.008658063,0.000850175
44,9,Bayer,2009,Communications in Soil Science and Plant Analysis,12,-53.7,-29.75,temperate,clay loam,0-10,9,upland,20,no,no-tillage,rainfed,mixture,2,surface,2.40E+00,4.99E-01,3,3.2,7.99E-01,3,0.287682072,0.035191063,1.22E+01,0.7470914,3,1.27E+01,0.7175627,3,0.040166042,0.002314111
45,9,Bayer,2009,Communications in Soil Science and Plant Analysis,12,-53.7,-29.75,temperate,clay loam,0-10,9,upland,20,no,no-tillage,rainfed,mixture,2,surface,2.40E+00,4.99E-01,3,3.8,9.49E-01,3,0.459532329,0.035199277,1.22E+01,0.7470914,3,1.36E+01,0.7684136,3,0.108633841,0.002314111
46,9,Bayer,2009,Communications in Soil Science and Plant Analysis,12,-53.7,-29.75,temperate,clay loam,0-10,9,upland,20,no,no-tillage,rainfed,mixture,2,surface,8.00E-01,1.66E-01,3,0.7,1.75E-01,3,-0.133531393,0.035185417,1.04E+01,0.6368648,3,1.18E+01,0.6667118,3,0.126293725,0.002314111
47,9,Bayer,2009,Communications in Soil Science and Plant Analysis,12,-53.7,-29.75,temperate,clay loam,0-10,9,upland,20,no,no-tillage,rainfed,mixture,2,surface,8.00E-01,1.66E-01,3,1,2.50E-01,3,0.223143551,0.035185417,1.04E+01,0.6368648,3,1.09E+01,0.6158609,3,0.046956983,0.002314111
48,9,Bayer,2009,Communications in Soil Science and Plant Analysis,12,-53.7,-29.75,temperate,clay loam,0-10,9,upland,20,no,no-tillage,rainfed,mixture,2,surface,5.00E-01,1.04E-01,3,0.5,1.25E-01,3,0,0.035254667,1.06E+01,0.6491122,3,1.11E+01,0.6271611,3,0.046091107,0.002314111
49,9,Bayer,2009,Communications in Soil Science and Plant Analysis,12,-53.7,-29.75,temperate,clay loam,0-10,9,upland,20,no,no-tillage,rainfed,mixture,2,surface,5.00E-01,1.04E-01,3,0.7,1.75E-01,3,0.336472237,0.035254667,1.06E+01,0.6491122,3,9.30E+00,0.5254593,3,-0.130839601,0.002314111
50,9,Bayer,2009,Communications in Soil Science and Plant Analysis,12,-53.7,-29.75,temperate,clay loam,0-10,9,upland,20,no,no-tillage,rainfed,mixture,2,surface,4.00E-01,8.32E-02,3,0.4,9.99E-02,3,0,0.035213021,1.07E+01,0.6552359,3,12.4,0.7006124,3,0.147452731,0.002314111
51,9,Bayer,2009,Communications in Soil Science and Plant Analysis,12,-53.7,-29.75,temperate,clay loam,0-10,9,upland,20,no,no-tillage,rainfed,mixture,2,surface,4.00E-01,8.32E-02,3,0.5,1.25E-01,3,0.223143551,0.035254667,1.07E+01,0.6552359,3,8.7,0.4915587,3,-0.206920716,0.002314111
52,9,Bayer,2009,Communications in Soil Science and Plant Analysis,12,-53.7,-29.75,temperate,clay loam,10-30,9,upland,20,no,no-tillage,rainfed,mixture,2,surface,4.00E-01,8.32E-02,3,0.4,9.99E-02,3,0,0.035213021,9.70E+00,0.5939989,3,9.9,0.5593599,3,0.020408872,0.002314111
53,9,Bayer,2009,Communications in Soil Science and Plant Analysis,12,-53.7,-29.75,temperate,clay loam,10-30,9,upland,20,no,no-tillage,rainfed,mixture,2,surface,4.00E-01,8.32E-02,3,0.5,1.25E-01,3,0.223143551,0.035254667,9.70E+00,0.5939989,3,9.4,0.5311094,3,-0.031416196,0.002314111
54,9,Bayer,2009,Communications in Soil Science and Plant Analysis,12,-53.7,-29.75,temperate,clay loam,10-30,9,upland,20,no,no-tillage,rainfed,mixture,2,surface,3.00E-01,6.24E-02,3,0.3,7.49E-02,3,0,0.035199148,9.70E+00,0.5939989,3,9.6,0.5424096,3,-0.010362787,0.002314111
55,9,Bayer,2009,Communications in Soil Science and Plant Analysis,12,-53.7,-29.75,temperate,clay loam,10-30,9,upland,20,no,no-tillage,rainfed,mixture,2,surface,3.00E-01,6.24E-02,3,0.2,4.99E-02,3,-0.405465108,0.035171417,9.70E+00,0.5939989,3,11.2,0.6328112,3,0.143787893,0.002314111
56,10,Blanco-Canqui,2023,Soil Science Society of America Journal,13,-96.4,41.15,cold,clay loam,0-10,8,upland,0,no,no-tillage,rainfed,non-legume,1,surface,4.85E+00,1.01E+00,3,6.50E+00,1.62E+00,3,0.292823472,0.035160988,,,,,,,,
