"","x","y","Total_Cu","Total_Fe","Total_Mn","Total_Zn","Total_Co","Total_Ni","Micronutrient","AMS_upland.micronutrient","AMS_upland.micronutrient_126","AMS_upland.micronutrient_370","AMS_paddy.micronutrient","AMS_paddy.micronutrient_126","AMS_paddy.micronutrient_370"
"789",60.38375,36.59978,11.143314,16863.881671,373.625825,29.982011,7.845293,20.887468,17307.365581,NA,NA,NA,NA,NA,NA
"790",60.38675,36.59817,6.242509,13681.582101,355.373552,24.970036,5.793048,15.031962,14088.993208,NA,NA,NA,NA,NA,NA
"791",34.886,31.65,11.138861,16428.071928,308.841159,27.722278,7.292707,16.033966,16799.100899,2.42774558067322,5.98225212097168,5.27147197723389,NA,NA,NA
"792",34.891,31.655,13.536464,19786.713287,411.338661,31.868132,8.941059,20.27972,20272.677323,2.42774558067322,5.98225212097168,5.27147197723389,NA,NA,NA
"793",34.883,31.674,17.732268,9231.768232,203.746254,37.162837,4.045954,17.132867,9511.588412,2.42774558067322,5.98225212097168,5.27147197723389,NA,NA,NA
"794",34.883,31.632,9.592326,15694.444444,294.514388,24.030775,7.344125,15.83733,16045.763389,3.27524757385254,7.00150966644287,6.14215564727783,NA,NA,NA
"795",35.109,32.575,30.157779,31965.248652,416.966247,80.287597,12.332734,20.671061,32525.66407,2.22300410270691,5.09574937820435,4.51938247680664,NA,NA,NA
"796",35.112,32.572,33.916084,33010.48951,461.588412,52.647353,13.936064,86.563437,33659.140859,2.22300410270691,5.09574937820435,4.51938247680664,NA,NA,NA
"797",35.09,32.564,28.06632,19856.172593,362.315222,64.272873,8.339992,54.934079,20374.101079,2.91769242286682,5.15553379058838,4.57351875305176,NA,NA,NA
"798",35.088,32.563,31.65,29283,446.85,15.5,12.25,72.85,29862.1,2.91769242286682,5.15553379058838,4.57351875305176,NA,NA,NA
"799",34.646,31.277,4.745255,8740.759241,148.801199,17.082917,4.295704,8.041958,8923.726274,3.6734926700592,5.94596672058105,5.24958944320679,NA,NA,NA
"800",34.654,31.275,6.546072,13078.153108,215.620628,13.791725,6.146312,11.742954,13332.0008,3.6734926700592,5.94596672058105,5.24958944320679,NA,NA,NA
"801",34.657,31.271,5.645484,11583.733014,176.209033,10.641487,4.996003,10.141886,11791.366906,3.6734926700592,5.94596672058105,5.24958944320679,NA,NA,NA
"802",34.65,31.27,4.094268,9428.79968,157.429599,56.32115,5.24266,7.689235,9659.576593,3.6734926700592,5.94596672058105,5.24958944320679,NA,NA,NA
"803",70.04409,50.57947,9.235224,15363.917732,7.861,0.558,7.338259,14.227236,15403.13745,NA,NA,NA,NA,NA,NA
"804",70.0686,50.57119,13.128994,20575.079872,8.443,0.695,9.035543,19.319089,20625.701498,NA,NA,NA,NA,NA,NA
"805",70.08489,50.55292,16.183816,22892.107892,8.017,0.816,9.64036,23.076923,22949.841991,NA,NA,NA,NA,NA,NA
"806",69.56427,48.40537,18.638817,24130.521687,18.013,0.861,15.190885,28.48291,24211.708299,NA,NA,NA,NA,NA,NA
"807",69.57324,48.41341,19.023367,26885.360495,15.947,0.844,13.680847,25.66407,26960.51978,NA,NA,NA,NA,NA,NA
"808",69.58788,48.42521,13.830637,17367.18594,9.683,0.8,45.486319,18.124626,17455.110521,NA,NA,NA,NA,NA,NA
"809",67.8435,47.66534,35.785686,22868.352659,585.515794,43.682527,11.795282,23.540584,23568.672531,NA,NA,NA,NA,NA,NA
"810",67.82863,47.65938,32.8,22978,548.3,44.8,11.8,23.8,23639.5,NA,NA,NA,NA,NA,NA
"811",67.80013,47.6537,25.829337,23550.659472,522.931655,42.216227,10.741407,23.431255,24175.809353,NA,NA,NA,NA,NA,NA
"812",37.62736,0.68808,12.829473,16547.02476,245.007987,23.961661,9.634585,30.101837,16868.560304,NA,NA,NA,NA,NA,NA
"813",37.61069,0.68808,12.779553,24144.868211,319.938099,26.906949,12.679712,45.527157,24562.699681,NA,NA,NA,NA,NA,NA
"814",37.6065,0.68861,11.69766,20083.483303,290.491902,28.044391,10.54789,30.943811,20455.208958,NA,NA,NA,NA,NA,NA
"815",36.54833,0.24289,16.476932,82399.640503,1054.473737,81.336129,12.033154,19.422808,83583.383263,NA,NA,NA,NA,NA,NA
