x,y,Total_Cu,Total_Fe,Total_Mn,Total_Zn,Total_Co ,Total_Ni ,Micronutrient
88.268417,44.629650,6.308897,10769.032248,222.195055,23.865461,5.834785,9.835425,11037.071871
88.268417,44.629650,5.814237,12246.401645,246.487981,18.507344,3.443654,9.352429,12530.007290
88.268417,44.629650,5.198516,8990.186638,212.127726,16.173762,2.978532,8.410004,9235.075179
86.022085,45.117241,14.563074,24663.855971,353.857441,46.705738,5.120399,18.366521,25102.469144
86.022085,45.117241,10.648711,18972.800926,315.035347,36.378029,4.823193,14.534162,19354.220369
86.022085,45.117241,11.432219,21094.692400,354.328955,41.807273,5.166046,16.376583,21523.803476
88.045233,43.834214,19.033541,25232.172471,714.825247,77.807498,7.190533,21.221899,26072.251188
88.045233,43.834214,17.197600,22401.937618,634.217237,67.619026,6.055921,18.102752,23145.130154
88.045233,43.834214,18.258567,20238.713025,627.550240,116.534383,5.868899,17.146484,21024.071599
88.150298,44.268534,21.757790,32602.196461,529.789280,59.498376,8.617060,24.481191,33246.340158
88.150298,44.268534,22.437161,26047.313948,654.879251,59.204041,11.631345,20.293248,26815.758995
88.150298,44.268534,20.131755,22175.078160,524.117910,51.451541,9.803484,17.262171,22797.845020
86.236809,44.698902,14.412601,19374.703932,484.959735,41.662719,7.685931,15.845571,19939.270488
86.236809,44.698902,10.918775,16577.896138,409.675988,37.438970,6.091877,12.339103,17054.360852
86.236809,44.698902,12.062472,17988.480284,455.693398,35.544971,6.623837,13.048294,18511.453257
133.354729,-23.825451,5.245747,13291.587902,120.982987,21.715501,3.804348,5.281191,13448.617675
133.354729,-23.825451,6.518724,21382.339344,171.521036,20.654184,4.935275,5.987055,21591.955617
133.354729,-23.825451,6.881695,20470.423847,147.764322,20.214252,5.228225,6.520727,20657.033069
153.429400,-27.492200,0.565657,270.707071,7.656566,4.737374,0.131313,1.686869,285.484848
153.429400,-27.492200,1.647001,311.332350,39.823009,4.338741,0.061455,0.663717,357.866273
153.429400,-27.492200,0.251311,87.937063,2.895542,3.911713,0.000000,0.480769,95.476399
142.172900,-34.180200,9.860140,12680.652681,251.864802,55.874126,6.188811,9.708625,13014.149184
142.172900,-34.180200,14.879013,18973.941368,392.624477,69.648674,9.039088,14.332248,19474.464867
142.172900,-34.180200,12.054578,12325.214253,314.388814,51.623816,6.867388,11.998196,12722.147046
150.854600,-33.881200,25.168431,27321.944177,2900.625602,65.724254,17.432628,22.990857,30353.885948
150.854600,-33.881200,27.511521,31474.654378,3215.520000,127.764977,19.608295,22.476959,34887.536129
150.854600,-33.881200,22.083725,24153.339605,2360.065851,73.894638,14.510818,19.590781,26643.485419
151.001200,-34.072100,4.684664,1115.585299,33.768149,20.995917,0.850726,2.484120,1178.368875
151.001200,-34.072100,10.100768,2430.422265,62.967850,36.396353,1.559501,2.963052,2544.409789
151.001200,-34.072100,3.455538,829.173167,8.447738,10.062402,0.265211,0.897036,852.301092
2.147501,41.476763,35.963173,42365.439093,508.781870,142.634561,15.495751,32.677054,43100.991501
2.147501,41.476763,39.178618,41112.559757,489.787049,122.772708,15.308561,29.878314,41809.485007
2.147501,41.476763,37.432166,33510.113468,437.715836,117.994573,13.616182,25.444006,34142.316231
-116.923073,46.725463,14.995108,21795.499022,715.998043,54.366438,12.879159,11.325832,22605.063601
-116.923073,46.725463,14.126612,20296.014068,578.839390,45.896835,13.291325,10.844080,20959.012309
-116.923073,46.725463,13.680638,21148.170012,526.564345,57.629870,10.109209,11.038961,21767.193034
-123.338215,44.496464,20.377636,26115.743011,661.108386,45.487984,16.674841,12.714566,26872.106425
-123.338215,44.496464,29.255596,32300.884956,917.490890,58.537220,19.000521,17.113483,33342.282665
-123.338215,44.496464,24.202552,35207.336523,893.407762,44.962786,21.305157,16.148325,36207.363105
-99.478020,19.603005,8.657699,11068.975386,630.795650,69.390384,5.294791,9.487693,11792.601603
-99.478020,19.603005,15.601197,15084.330794,967.355822,95.742655,7.644178,10.595756,16181.270403
-99.478020,19.603005,12.677790,10138.129103,966.493435,71.020241,5.087527,9.217724,11202.625821
-99.475917,19.601338,10.010241,14234.511009,717.229903,64.772145,6.490015,7.770097,15040.783410
-99.475917,19.601338,12.894962,13684.884714,908.091375,82.536294,6.586251,10.151580,14705.145175
-99.475917,19.601338,11.135693,11209.439528,729.140329,64.296249,5.973451,8.386009,12028.371260
-99.170100,19.081000,16.474070,12332.299887,268.883878,112.359076,5.651071,14.303833,12749.971815
-99.170100,19.081000,24.820072,13034.786086,288.384646,172.131148,6.857257,18.732507,13545.711715
-99.170100,19.081000,37.718833,16405.835544,215.251989,200.795756,7.029178,23.037135,16889.668435
-4.153330,40.572220,2.904952,23739.513423,283.601730,53.137318,4.673302,5.288262,24089.118986
-4.153330,40.572220,4.559630,28669.864806,354.197678,70.285067,5.643121,6.065488,29110.615791
-5.934926,37.358066,11.319653,22226.327945,453.365420,37.358180,5.977431,19.547049,22753.895677
-5.934926,37.358066,15.707747,22507.288630,409.375209,44.613239,4.818635,19.654432,23001.457891
-5.934926,37.358066,12.496573,18417.347866,333.759170,47.442066,4.556492,17.120719,18832.722885
-5.952151,37.358998,14.572755,23667.097330,337.715471,40.713182,6.623943,15.749035,24082.471715
-5.952151,37.358998,16.436339,31094.949495,408.048159,49.696465,7.851168,19.882614,31596.864241
-5.952151,37.358998,15.585597,24818.731118,369.064885,49.981114,6.791263,17.862661,25278.016638
-5.995864,37.416482,11.477678,16177.174781,296.607145,35.426554,4.119517,15.519737,16540.325411
