ID,number,author1,year,journal,study,longitude,latitude,climate.zone,soil.texture,soil.layer,experimental.duration (yr),cropland.type,Nrate (kg N/ha),OF,tillage,irrigation2,CC.type,CC.diversity,residue.management,species,unit,cellulase.ck (nmol h-1 g-1 soil),cellulase.csd,cellulase.cn,cellulase.t,cellulase.tsd,cellulase.tn,rrcellulase,varcellulase
31,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,2.19E+02,4.49E+01,3,2.58E+02,39.507282,3,0.163887855,0.021827617
32,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,2.19E+02,4.49E+01,3,2.88E+02,44.101152,3,0.27388875,0.021827617
33,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.46E+02,2.99E+01,3,1.62E+02,24.806898,3,0.103989714,0.021796429
34,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.46E+02,2.99E+01,3,1.58E+02,24.194382,3,0.078988411,0.021796429
35,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.46E+02,2.99E+01,3,2.27E+02,34.760283,3,0.441343396,0.021796429
36,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.46E+02,2.99E+01,3,1.65E+02,25.266285,3,0.122338852,0.021796429
37,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,1.62E+02,3.32E+01,3,1.54E+02,23.581866,3,-0.050643733,0.021816062
38,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,1.62E+02,3.32E+01,3,1.50E+02,22.96935,3,-0.076961041,0.021816062
39,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,1.62E+02,3.32E+01,3,2.58E+02,39.507282,3,0.46536325,0.021816062
40,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,0,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,1.62E+02,3.32E+01,3,1.96E+02,30.013284,3,0.190518324,0.021816062
